Movie Name,Budget,Youtube Views,Youtube Likes,Youtube Dislikes,Box Office Collection
Zid,20,6698987,6750,2234,14.05
PK,85,13270623,43767,5693,735.00
Raanjhanaa,35,5470632,12413,1018,100.00
Action Jackson,90,13279636,19240,3859,57.45
Bang Bang,140,15889811,61805,6283,340.00
Shortcut Romeo,15,1131573,913,255,2.58
Creature,24,2876498,5844,1537,20.00
Ghanchakkar,30,2248046,5108,614,38.00
Besharam,85,5319606,10253,8165,35.00
Lootera,27,2581449,4416,819,28.00
Pizza 3D,10,838943,1116,153,4.35
The Xpose,16,3707889,3512,1292,29.00
Policegiri,30,1754266,1674,420,16.80
Bhaag Milkha Bhaag,30,2635390,4622,456,164.00
Kaanchi,31,2360968,2807,595,4.00
Samrat and Co.,18,371133,532,180,2.00
B.A. Pass,2,2240961,842,348,5.90
Ramaiya Vastavaiya,35,3788488,4111,687,30.00
Bewakoofiyan,22,2850376,4764,1068,14.00
D Day,30,1939868,1804,224,24.00
Darr@ The Mall,15,1679872,255,51,4.50
Issaq,10,68511,76,16,5.00
Hasee To Phansee,27,2543707,6390,975,35.50
Bajatey Raho,5,462722,513,77,10.00
Mr Joe B Carvalho,15,268289,139,40,4.00
Nasha,4,613448,288,188,8.00
Bhootnath Returns,29,3049275,10759,657,53.00
Chennai Express,75,1882346,7954,1593,395.00
Once Upon Ay Time In Mumbai Dobaara!,100,3077135,9200,2821,80.00
Madras Cafe,35,1709945,2974,594,42.70
Satyagraha,50,1422568,2736,394,60.00
Krrish 3,115,23171067,72070,11888,300.00
Total Siyappa,10,1719399,3656,548,12.00
Satya 2,15,110315,89,26,1.10
Rajjo,12,1718619,1606,1083,2.00
Gori Tere Pyaar Mein,30,3799253,8559,1871,12.65
Bullett Raja,50,4015674,8084,2129,40.00
War Chhod Na Yaar,14,40450,33,7,7.50
Baat Ban Gayi,4,23186,9,4,1.50
Boss,50,6464704,22977,3396,45.00
Shahid,6,1148516,3155,396,40.00
Mickey Virus,11,335807,574,129,6.00
Zanjeer,75,2539431,5634,922,18.20
Shuddh Desi Romance,25,5142,1,1,55.00
Grand Masti,35,1795640,3015,721,298.00
Children Of War,12,577569,1640,156,22.00
Phata Poster Nikla Hero,40,5176897,10672,1392,34.00
The Lunchbox,10,1064854,4054,285,85.00
Tevar,40,6132407,11241,1729,56.00
Alone,18,8788913,18907,2940,25.00
Baby,60,7968156,29246,2426,125.00
Hawaizaada,25,2368404,8619,539,30.25
Khamoshiyan,11,3094001,4599,997,14.02
Shamitabh,40,2105508,5599,677,38.00
Roy,40,7687797,18974,3229,58.00
Badlapur,23,4550051,10602,893,77.00
Dum Laga Ke Haisha,15,3250917,8185,615,30.00
NH10,13,5592977,15464,1513,32.10
Dilliwali Zaalim Girlfriend,32,2316047,4289,807,12.00
Hunterrr,5,4674795,3706,762,11.89
Kochadaiiyaan,150,4740727,13466,2649,120.00
,,,,,735.00
